title,authors,venue,publication_date,doi,arxiv_id,url,sources,score,matched_keywords,abstract
para-Boron Dendritic Modulation of MR-TADF Emitters Enables High-Efficiency Narrowband Solution-Processed OLEDs.,Tao Zhou; Gui-Min Zhao; Wen-Wen Tian; Yue-Ming Sun; Yuxuan Zhou; Lin Fang; Guang Guo; Fang Tian; Wei Jiang,ACS Applied Materials and Interfaces,2026-09-25,10.1021/acsami.6c15651,,https://www.semanticscholar.org/paper/fe00acdedfedaf47f35a61f170b3f1f10f203194,Semantic Scholar,17,tadf; oled; solution-processed,
Dual-dibenzothiophene-fused MR-TADF emitters toward high-efficiency narrowband green OLEDs,Qing-Chao Liu; De-Li Li; Jia-Sen Zhang; Shu-Li Gao; Rui-Zhe Xu; Wei Liu; Yong Nie; Wei Li; Zi-Yi Ge; Xu-Chuan Jiang; Lin-Xiang Dong,Chemical Engineering Journal,2026-11-01,10.1016/j.cej.2026.182233,,https://www.semanticscholar.org/paper/943f5e266a8e9d50ee39fb0518a7704927bb73b3,Semantic Scholar,11,tadf; oled,
